product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
CEPNTR_USD,CEPNTR_HSBC_KT_L_USD_NI_2023_IF,90,1993950,2669627,0
CEPNTR_USD,CEPNTR_HSBC_KT_L_USD_NI_2024_IF,63,1424000,1862850,0
CEPNTR_USD,CEPNTR_HSBC_KT_L_USD_NI_2025_Q1,2,30000,39300,0
CEPNTR_IDR,CEPNTR_MAYBANK_NK_L_IDR_NI_2024_IF,229,62550000000,95584100000,0
CEPNTR_IDR,CEPNTR_MAYBANK_NK_L_IDR_NI_2025_Q1,154,31150000000,48622900000,0
CEPNTR_USD,CEPNTR_MAYBANK_NK_L_USD_NI_2023_IF,227,4495717,5959505,0
CEPNTR_USD,CEPNTR_MAYBANK_NK_L_USD_NI_2024_IF,143,2628000,3442680,0
CEPNTR_USD,CEPNTR_MAYBANK_NK_L_USD_NI_2025_Q1,40,616000,806960,0
CEPNTR_IDR,CEPNTR_QNB_NK_L_IDR_NI_2024_IF,4,1200000000,1908000000,0
CEPNTR_IDR,CEPNTR_QNB_NK_L_IDR_NI_2025_Q1,16,6770000000,10520300000,0
CEPNTR_USD,CEPNTR_QNB_NK_L_USD_NI_2024_IF,1,60000,78600,0
CEPNTR_USD,CEPNTR_QNB_NK_L_USD_NI_2025_Q1,8,261000,341910,0
CEPNTR_IDR,CEPNTR_VICTORIA_NK_L_IDR_NI_2023_IF,2,250000000,360000000,0
CEPNTR_IDR,CEPNTR_VICTORIA_NK_L_IDR_NI_2024_IF,9,1100000000,1661000000,0
CEPNTR_IDR,CEPNTR_VICTORIA_NK_L_IDR_NI_2025_Q1,3,300000000,477000000,0
CEPNTR_USD,CEPNTR_VICTORIA_NK_L_USD_NI_2024_IF,2,30000,39300,0
CEPNTR_USD,CEPNTR_VICTORIA_NK_L_USD_NI_2025_Q1,1,10000,13100,0
CESC___IDR,CESC___AZID_AG_L_IDR_PI_2014_IF,83,287121200,1702000000,35185
CESC___USD,CESC___AZID_AG_L_USD_PI_2014_IF,3,3000,15500,0
CESCP__IDR,CESCP__AZID_AG_L_IDR_PI_2014_IF,31,57426480,456000000,4123
CESD___IDR,CESD___AZID_AG_L_IDR_PI_2014_IF,1,505750,25000000,5281261
CESD___USD,CESD___AZID_AG_L_USD_PI_2014_IF,1,4938,120000,0
CESE___IDR,CESE___AZID_AG_L_IDR_PI_2014_IF,377,900416040,8135500000,39600177
CESE___USD,CESE___AZID_AG_L_USD_PI_2014_IF,3,2795.5,20000,0
CESEP__IDR,CESEP__AZID_AG_L_IDR_PI_2014_IF,27,42134380,382000000,-10
CESF___IDR,CESF___AZID_AG_L_IDR_PI_2014_IF,425,1697797769,12574700000,184616
CESF___USD,CESF___AZID_AG_L_USD_PI_2014_IF,10,26048.75,124600,0.01
CESFP__IDR,CESFP__AZID_AG_L_IDR_PI_2014_IF,54,95096264,663000000,-8
CESFP__USD,CESFP__AZID_AG_L_USD_PI_2014_IF,4,16534.44,118000,0
CESS___IDR,CESS___AZID_AG_L_IDR_PI_2014_IF,553,964336373,7283100000,2495648
CESS___USD,CESS___AZID_AG_L_USD_PI_2014_IF,5,13389.08,63500,0
CESSP__IDR,CESSP__AZID_AG_L_IDR_PI_2014_IF,268,453617054,3226000000,-20849
