product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CEPNTR_USD;CEPNTR_BTPN_NK_L_USD_NI_2023_IF;18;515500;681965;0;;
CEPNTR_USD;CEPNTR_BTPN_NK_L_USD_NI_2024_IF;31;689000;900840;0;;
CEPNTR_USD;CEPNTR_BTPN_NK_L_USD_NI_2025_Q1;16;186000;243660;0;;
CEPNTR_USD;CEPNTR_BTPN_NK_L_USD_NI_2025_Q2;6;80000;104800;0;;
CEPNTR_IDR;CEPNTR_HANA_NK_L_IDR_NI_2025_Q1;1;150000000;238500000;0;;
CEPNTR_IDR;CEPNTR_HANA_NK_L_IDR_NI_2025_Q2;1;100000000;159000000;0;;
CEPNTR_USD;CEPNTR_HANA_NK_L_USD_NI_2025_Q2;3;40000;52400;0;;
CEPNTR_IDR;CEPNTR_HSBC_KT_L_IDR_NI_2023_IF;63;20480000000;29491200000;0;;
CEPNTR_IDR;CEPNTR_HSBC_KT_L_IDR_NI_2024_IF;52;12360000000;18211000000;0;;
CEPNTR_IDR;CEPNTR_HSBC_KT_L_IDR_NI_2025_Q1;5;1730000000;2750700000;0;;
CEPNTR_IDR;CEPNTR_HSBC_KT_L_IDR_NI_2025_Q2;1;500000000;795000000;0;;
CEPNTR_USD;CEPNTR_HSBC_KT_L_USD_NI_2023_IF;90;1993950;2669627;0;;
CEPNTR_USD;CEPNTR_HSBC_KT_L_USD_NI_2024_IF;63;1424000;1862850;0;;
CEPNTR_USD;CEPNTR_HSBC_KT_L_USD_NI_2025_Q1;3;50000;65500;0;;
CEPNTR_USD;CEPNTR_HSBC_KT_L_USD_NI_2025_Q2;5;85000;111350;0;;
CEPNTR_IDR;CEPNTR_MAYBANK_NK_L_IDR_NI_2024_IF;229;62550000000;95584100000;0;;
CEPNTR_IDR;CEPNTR_MAYBANK_NK_L_IDR_NI_2025_Q1;155;31650000000;49417900000;0;;
CEPNTR_IDR;CEPNTR_MAYBANK_NK_L_IDR_NI_2025_Q2;117;38630000000;61421700000;0;;
CEPNTR_USD;CEPNTR_MAYBANK_NK_L_USD_NI_2023_IF;227;4495717;5959505;0;;
CEPNTR_USD;CEPNTR_MAYBANK_NK_L_USD_NI_2024_IF;143;2628000;3442680;0;;
CEPNTR_USD;CEPNTR_MAYBANK_NK_L_USD_NI_2025_Q1;40;616000;806960;0;;
CEPNTR_USD;CEPNTR_MAYBANK_NK_L_USD_NI_2025_Q2;59;965000;1264150;0;;
CEPNTR_IDR;CEPNTR_QNB_NK_L_IDR_NI_2024_IF;4;1200000000;1908000000;0;;
CEPNTR_IDR;CEPNTR_QNB_NK_L_IDR_NI_2025_Q1;16;6770000000;10520300000;0;;
CEPNTR_IDR;CEPNTR_QNB_NK_L_IDR_NI_2025_Q2;5;2200000000;3498000000;0;;
