product_group,goc,pol_num,pre_ann,sum_assur,total_fund
ULAPO4_IDR,ULAPO4_AZID_AG_IDR_SH_2019_IF,61,738768000,12465000000,669634508.964981
ULAPO4_IDR,ULAPO4_EAGLE_AG_IDR_SH_2015_IF,51,876920000,18430600000,1331409577.430192
ULAPO4_IDR,ULAPO4_EAGLE_AG_IDR_SH_2016_IF,744,11825697188.84424976,296583100000,17093747921.090159
ULAPO4_IDR,ULAPO4_EAGLE_AG_IDR_SH_2017_IF,1278,20170144732,427128108000,25909175925.258766
ULAPO4_IDR,ULAPO4_EAGLE_AG_IDR_SH_2018_IF,1432,23146427204,474063870000,28427600204.318837
ULAPO4_IDR,ULAPO4_EAGLE_AG_IDR_SH_2019_IF,114,1468300000,27173400000,1589891308.862869
ULAPO4_IDR,ULAPO4_SPRING_AG_IDR_SH_2015_IF,342,5845947136,153026200000,8616812473.043472
ULAPO4_IDR,ULAPO4_SPRING_AG_IDR_SH_2016_IF,905,15797677996,453839550000,24702280756.001784
ULAPO4_IDR,ULAPO4_SPRING_AG_IDR_SH_2017_IF,947,15584672000,401927600000,21987598109.627925
ULAPO4_IDR,ULAPO4_SPRING_AG_IDR_SH_2018_IF,727,12018452000,301448599999,13640925081.891485
ULAPO4_IDR,ULAPO4_SPRING_AG_IDR_SH_2019_IF,62,806540000,17303000000,982076043.875432
ULAPO4A_IDR,ULAPO4A_AZID_AG_IDR_SH_2021_IF,1,33600000,500000000,10951558
ULAPR__IDR,ULAPR__AZID_AG_IDR_SH_2014_IF,1320,6670317804,237811000000,27079666893.87568
ULAPR__IDR,ULAPR__EAGLE_AG_IDR_SH_2014_IF,1,4200000,250000000,10346126.388593
ULAPR__IDR,ULAPR__SPRING_AG_IDR_SH_2014_IF,1091,5117549988,217495100000,22948047409.577452
ULARK__IDR,ULARK__DANAMON_NK_IDR_SH_2014_IF,8,14400000,393000000,213627305.698283
ULARLK_IDR,ULARLK_BMI_NK_IDR_SH_2014_IF,268,3260100000,133234000000,7967323072.416621
ULARLK_IDR,ULARLK_BMI_NK_IDR_SH_2015_IF,24,264400000,6710000000,636393505.331702
ULARP2_IDR,ULARP2_ANZ_NK_IDR_SH_2015_IF,18,2757000004,41050000000,2730945256.821286
ULARP2_IDR,ULARP2_ANZ_NK_IDR_SH_2016_IF,16,989800000,33450000000,1413554350.262786
ULARPL_IDR,ULARPL_ANZ_NK_IDR_SH_2014_IF,168,7222499988,101270000000,10007227035.571997
ULARPL_IDR,ULARPL_ANZ_NK_IDR_SH_2015_IF,22,1005000004,25375000000,854473606.272785
ULARPL_IDR,ULARPL_RBS_NK_IDR_SH_2014_IF,11,273500000,4475000000,241144335
ULARPN_IDR,ULARPN_ANZ_NK_IDR_SH_2017_IF,4,307500000,13500000000,125688192.204822
ULASFA_IDR,ULASFA_HSBC_KT_IDR_SH_2014_IF,14,2625000000,5250000000,874698204.773458
ULASLF_IDR,ULASLF_AZID_AG_IDR_SH_2023_IF,933,13603133136,255235630000,3464299073.743692
ULASLF_IDR,ULASLF_AZID_AG_IDR_SH_2024_IF,878,12324654592,248271920000,4230068218.885088
ULASLF_IDR,ULASLF_AZID_AG_IDR_SH_2025_Q1,155,1545680000,35984000000,292284934.199734
ULASLF_IDR,ULASLF_AZLI_STAFF_AG_IDR_SH_2023_IF,3,52200000,2150000000,37176207.375724
ULASLF_IDR,ULASLF_AZLI_STAFF_AG_IDR_SH_2024_IF,3,48000000,1306000000,10401532.67835
ULASLF_IDR,ULASLF_EAGLE_AG_IDR_SH_2023_IF,12666,226579816548,3312254766258,37012914937.17299
ULASLF_IDR,ULASLF_EAGLE_AG_IDR_SH_2024_IF,13964,249834775160,3330475491001,28522134215.227946
ULASLF_IDR,ULASLF_EAGLE_AG_IDR_SH_2025_Q1,1733,28745625000,414528400000,2301356604.488308
ULASLF_IDR,ULASLF_SPRING_AG_IDR_SH_2023_IF,1685,33047306992,486833959980,6880782930.297918
ULASLF_IDR,ULASLF_SPRING_AG_IDR_SH_2024_IF,1346,25011539004,370660851000,3272033584.524244
ULASLF_IDR,ULASLF_SPRING_AG_IDR_SH_2025_Q1,196,3221809996,59521300000,489660379.279968
ULASMN_IDR,ULASMN_AZID_AG_IDR_SH_2021_IF,9,149645400,2200000000,66242478
